Time,V,F,P,Q,Ang
2.6666689,0.999713327159818,59.99012,564.806213,-25.451588,69.187637
2.7000017,0.999306878389488,59.99012,564.803223,-25.372839,69.163712
2.7333345,0.999558557783214,59.99012,564.881531,-25.407114,69.139786
2.7666674,0.9995558676758,59.99012,564.947815,-25.440847,69.115868
2.8000002,0.999962316446129,59.99012,565.033386,-25.475601,69.091949
2.833333,1.00057195652653,59.99012,565.087769,-25.587866,69.068016
2.8666658,1.00118430876441,59.99012,565.065979,-25.717503,69.044067
2.8999987,1.00133773308731,59.9901,565.013306,-25.749884,69.020126
2.9333315,1.00179397089488,59.9901,564.995178,-25.790623,68.99617
2.9666643,1.00194739521778,59.9901,564.942566,-25.822914,68.972221
2.9999971,1.00133235287248,59.9901,564.88501,-25.772604,68.948288
3.03333,1.00112779445864,59.99119,564.782959,-25.700184,68.92881
3.0666628,1.00174149175023,59.992065,564.719116,-25.784367,68.912361
3.0999956,1.00210081954067,59.991095,564.934204,-25.869411,68.888481
3.1333284,1.00107666036769,59.990615,565.060547,-25.80331,68.864601
3.1666613,1.0002570375585,59.99037,565.186401,-25.733999,68.840706
3.1999941,1.00071596547348,59.990235,565.294434,-25.869429,68.816788
3.2333269,1.00091785582997,59.990175,565.279602,-25.961607,68.792847
3.2666597,1.0009164887262,59.99014,565.18457,-26.026031,68.768906
3.2999926,1.00091514367249,59.99012,565.064941,-26.034489,68.744942
3.3333254,1.00076037429589,59.99012,564.96405,-26.006069,68.720993
3.3666582,1.00055447082834,59.9901,564.916809,-25.952785,68.697044
3.399991,1.00019110787677,59.99012,564.892517,-25.910816,68.673119
3.4333239,1.00039163112949,59.99012,564.939636,-25.933922,68.649193
3.4666567,1.00064328847315,59.99012,565.009399,-25.96504,68.625267
3.4999895,1.00145347385634,59.987965,565.307068,-26.212696,68.5924
3.5333223,1.00123680995913,59.984055,565.837158,-26.347082,68.544601
3.5666552,1.0012314297443,59.984225,565.767212,-26.478943,68.505653
3.599988,1.00189357101941,59.98501,565.350464,-26.63587,68.472633
3.6333208,1.00224886364874,59.984705,565.086548,-26.68519,68.433632
3.6666536,1.00307521172647,59.987375,564.480591,-26.673853,68.409546
3.6999865,1.00318557228067,59.98873,564.101807,-26.530382,68.385521
3.7333193,1.00405767423452,59.989415,564.10083,-26.523235,68.361565
3.7666521,1.00437124814885,59.990845,564.18219,-26.466152,68.342117
3.7999849,1.00498898060156,59.99298,564.24353,-26.460287,68.330193
3.8333178,1.00549904260749,59.995135,564.320374,-26.510548,68.322746
3.8666506,1.00606026075443,59.997615,564.382813,-26.479603,68.322739
3.8999834,1.00560402294686,59.998855,564.539978,-26.409435,68.322792
3.9333162,1.00432412716897,59.999485,564.760803,-26.284727,68.322861
3.9666491,1.00412225886254,60.000875,564.964417,-26.32336,68.327415
3.9999819,1.00433221954128,60.002995,564.952087,-26.33399,68.339424
4.0333147,1.00454753838478,60.004045,564.960022,-26.35256,68.35144
4.0666475,1.00414918198675,60.00349,565.105652,-26.341005,68.359001
