Time,V,F,P,Q,Ang
0,1,60.000075,569.986267,-11.096367,69.610191
0.0333333,0.999888787520612,59.999905,570.004883,-11.068444,69.609451
0.0666667,0.999648023229516,59.999715,570.019836,-11.069404,69.608109
0.1,0.999450904242504,59.99937,570.063171,-11.069677,69.605614
0.1333334,0.999383313998861,59.999255,570.093323,-11.061231,69.603287
0.1666667,0.999735313837689,59.99941,570.075989,-11.105249,69.602074
0.2,1.00001972343287,59.999505,570.026367,-11.138384,69.600845
0.2333333,1.00019430464922,59.99954,569.976318,-11.129061,69.599625
0.2666666,1.00026330206176,59.99956,569.930969,-11.123212,69.598412
0.2999999,1.0000112804195,59.99975,569.86554,-11.063586,69.597954
0.3333332,1.00004648271022,59.999925,569.859924,-11.083,69.597954
0.3666665,1.00017882579138,60,569.885559,-11.090304,69.597954
0.3999998,0.99992680414912,60.00004,569.914673,-11.039021,69.597969
0.4333331,0.999953540358125,60.000075,569.97406,-11.060535,69.597977
0.4666664,1.00011686422331,60.00025,570.010986,-11.064456,69.598686
0.4999997,1.00039142363623,60.00038,570.012268,-11.115603,69.599777
0.533333,1.00066739021805,60.00046,570.028137,-11.128005,69.600861
0.5666663,1.00076736841462,60.000495,570.018616,-11.155999,69.601952
0.5999996,1.0008110137187,60.000515,570.004028,-11.161013,69.603043
0.6333329,1.000851844685,60.000535,569.989319,-11.16599,69.604134
0.6666662,1.00089830432688,60.000705,569.95813,-11.179086,69.605988
0.6999995,1.00094054246207,60.000875,569.924255,-11.164988,69.608269
0.7333328,1.00089830432688,60.000915,569.925171,-11.166504,69.61042
0.7666661,1.0007194785355,60.000725,569.965332,-11.173341,69.611526
0.7999994,1.00092928511091,60.000475,570.043213,-11.19444,69.611969
0.8333327,1.00114751163135,60.000285,570.09729,-11.254927,69.611977
0.866666,1.00135448080062,60,570.131287,-11.315807,69.611214
0.8999993,1.00151076882134,59.99979,570.11438,-11.363112,69.610008
0.9333326,1.00174731160575,59.999505,570.098694,-11.395531,69.608002
0.9666659,1.00188952793752,59.999255,570.068665,-11.429377,69.605469
0.9999992,1.00191907848431,59.99897,570.020935,-11.44391,69.602203
1.0333329,1.00194865209944,59.99859,570.004639,-11.503409,69.597816
1.0666667,1.00197822571458,59.9983,570.009705,-11.510362,69.592857
1.1000005,1.00200779932972,59.99794,570.026855,-11.55438,69.586853
1.1333343,1.00203594270762,59.99758,570.050903,-11.586419,69.580101
1.1666681,1.00206410915386,59.99714,570.077271,-11.654073,69.572083
1.2000018,1.002093682769,59.996795,570.098572,-11.68217,69.563416
1.2333356,1.00203312836983,59.996435,570.108154,-11.73902,69.55381
1.2666694,1.00165017081531,59.99607,570.085205,-11.730556,69.543434
1.3000032,1.0012517113346,59.99565,570.080688,-11.741104,69.531876
1.3333369,1.00118974976654,59.99531,570.104187,-11.784831,69.519684
1.3666707,1.00112921843572,59.994945,570.134705,-11.819909,69.506424
1.4000045,1.00106725686765,59.994585,570.11908,-11.86717,69.492432
1.4333383,1.00108979463831,59.994315,570.107422,-11.918824,69.477997
1.4666721,1.00136010947621,59.994355,570.07135,-11.972218,69.464279
1.5000058,1.00130802115875,59.994505,569.976624,-11.95881,69.451149
1.5333396,1.00114329012466,59.994775,569.869507,-11.953927,69.439095
1.5666734,1.00102501873245,59.9951,569.81073,-11.936483,69.427826
1.6000072,1.00091659752251,59.995385,569.79126,-11.927485,69.41716
1.633341,1.0008110137187,59.99573,569.808594,-11.899582,69.407547
1.6666747,1.00055193316363,59.99607,569.847717,-11.875359,69.398643
1.7000085,1.00042521875806,59.9963,569.905334,-11.874003,69.390144
1.7333423,1.0003590356833,59.996625,569.958679,-11.883995,69.382454
1.7666761,1.00029428284579,59.99689,569.992981,-11.880285,69.375404
1.8000098,1.00022669260215,59.997445,569.9646,-11.877925,69.370277
1.8333436,1.00016332386519,59.99817,569.900574,-11.862514,69.367317
1.8666774,1.00008731367652,59.9988,569.843445,-11.815168,69.365616
1.9000112,1.00000705891282,59.999235,569.815369,-11.772282,69.364563
1.933345,0.99992680414912,59.999655,569.82605,-11.7335,69.364563
1.9666787,0.999846549385421,59.999865,569.856201,-11.701903,69.364578
2.0000124,0.999764887452826,59.99998,569.917603,-11.70415,69.364601
2.0333452,0.999312909417425,60.000075,569.990662,-11.627176,69.364761
2.066678,0.99896656132252,60.000325,570.010742,-11.607277,69.365891
