Time,V,F,P,Q,Ang
0,1,60.000075,559.986328,-11.106905,69.608597
0.0333333,0.998991967832101,60.000075,559.95343,-10.978784,69.608597
0.0666667,0.99871602245729,60.000095,559.98407,-10.950454,69.608612
0.1,0.9984555778174,60.001165,559.905029,-10.881048,69.613113
0.1333334,0.998464020181956,60.00313,559.677856,-10.788977,69.625092
0.1666667,0.998257066917492,60.0041,559.568909,-10.677979,69.637093
0.2,0.997558749582626,60.00353,559.692322,-10.572654,69.644653
0.2333333,0.996390220221886,60.0029,559.945679,-10.442275,69.649239
0.2666666,0.9965239832603,60.002935,560.149597,-10.463223,69.656815
0.2999999,0.996065004653932,60.002595,560.32489,-10.424855,69.661362
0.3333332,0.996318437056593,60.002765,560.321533,-10.455641,69.668877
0.3666665,0.996205802996139,60.00143,560.422852,-10.494696,69.668907
0.3999998,0.995132999900171,60.000765,560.369934,-10.382412,69.668922
0.4333331,0.994500860554133,59.99935,560.37793,-10.351468,69.664474
0.4666664,0.994820447879052,59.997235,560.555115,-10.440865,69.65258
0.4999997,0.994662764807732,59.996165,560.540222,-10.423063,69.640671
0.533333,0.994264335947152,59.99563,560.35199,-10.367218,69.628723
0.5666663,0.994206623389452,59.994295,560.263672,-10.364814,69.612297
0.5999996,0.993880000760735,59.993265,560.200684,-10.317969,69.592834
0.6333329,0.993428057458166,59.993115,560.026001,-10.201899,69.576385
0.6666662,0.994040497953577,59.99161,560.117737,-10.284925,69.55246
0.6999995,0.994666985990009,59.990865,560.149597,-10.323606,69.528526
0.7333328,0.995522986396196,59.99048,560.122131,-10.402656,69.50457
0.7666661,0.996494411917783,59.99029,560.03479,-10.479544,69.480591
0.7999994,0.997463023317854,59.990195,559.937744,-10.55274,69.456612
0.8333327,0.998433041778684,59.99014,559.850281,-10.629452,69.432632
0.866666,0.998675194628701,59.99012,559.755737,-10.604891,69.408676
0.8999993,0.999018725053099,59.99012,559.745667,-10.632255,69.384727
0.9333326,0.999517101360724,59.99119,559.654236,-10.648772,69.365242
0.9666659,0.999311555157017,59.993155,559.458862,-10.51969,69.353264
0.9999992,0.999581872288793,59.993055,559.538818,-10.55185,69.336876
1.0333329,0.999753625967706,59.992675,559.799988,-10.617332,69.317482
1.0666667,0.999814175713494,59.993895,559.863831,-10.625051,69.305573
1.1000005,1.00060116094277,59.995575,559.83374,-10.69618,69.298103
1.1333343,1.00095454079248,59.997825,559.61322,-10.651711,69.298042
1.1666681,1.00107983839976,59.99895,559.532043,-10.619175,69.298019
1.2000018,1.0000901210883,59.998455,559.664551,-10.508362,69.293594
1.2333356,0.998389399828577,59.997885,559.925537,-10.376445,69.286232
1.2666694,0.997306747307293,59.99899,560.022888,-10.276279,69.286285
1.3000032,0.996853420010533,59.99954,560.132263,-10.280706,69.286316
1.3333369,0.99798674978572,60.000895,560.154175,-10.380359,69.290817
1.3666707,0.998884985081255,60.001905,560.032715,-10.422739,69.298271
1.4000045,0.999539637399443,60.00099,560.092041,-10.522589,69.298271
