Time,V,F,P,Q,Ang
26.5687218,1.07510429774057,59.882795,568.596375,-49.974537,-58.081573
26.6020622,1.07468599861273,59.88325,568.622742,-49.979748,-58.361065
26.6354027,1.07583092502646,59.884225,568.533508,-50.159012,-58.637005
26.6687431,1.07621121719023,59.885385,568.25592,-50.150555,-58.909603
26.7020836,1.07389960159296,59.886435,567.874756,-49.826057,-59.179955
26.735424,1.07504997982531,59.88703,567.876465,-49.941021,-59.449905
26.7687645,1.07633209179723,59.88798,567.916992,-50.017677,-59.716972
26.8021049,1.07614737528164,59.889795,567.771362,-49.879433,-59.977646
26.8354454,1.07539631494742,59.89065,567.767456,-49.746876,-60.238075
26.8687859,1.07411148819235,59.890635,567.958191,-49.567474,-60.500778
26.9021263,1.07415630436659,59.890635,568.284485,-49.635441,-60.763474
26.9354668,1.07457055357203,59.890635,568.553528,-49.732094,-61.026199
26.9688072,1.0737080981195,59.890425,568.679565,-49.665173,-61.289768
27.0021477,1.0725088315382,59.89027,568.655945,-49.559834,-61.553715
27.0354881,1.07230918371529,59.8901,568.647766,-49.610115,-61.818089
27.0688286,1.07234314075695,59.890595,568.508789,-49.572285,-62.079796
27.102169,1.07219238128302,59.891035,568.316101,-49.504574,-62.340427
27.1355095,1.07199952041798,59.890805,568.208923,-49.440697,-62.603092
27.1688499,1.07181073172767,59.89065,568.190796,-49.342419,-62.86623
27.2021904,1.07173195851176,59.890745,568.18219,-49.289028,-63.128403
27.2355309,1.0715621955558,59.890615,568.229126,-49.220379,-63.391399
27.2688713,1.07067666444653,59.89029,568.273621,-49.08033,-63.655575
27.3022118,1.06978841855411,59.88989,568.387817,-48.973747,-63.920948
27.3355522,1.06951814186475,59.88943,568.523254,-48.94186,-64.187531
27.3688927,1.06938774326441,59.888955,568.628235,-48.948254,-64.455322
27.4022331,1.06926008169954,59.88846,568.638977,-48.947083,-64.724319
27.4355736,1.06990114881167,59.88804,568.628723,-49.015938,-64.994278
27.468914,1.0707201232292,59.88762,568.541748,-49.091869,-65.265114
27.5022545,1.07075272287928,59.88735,568.357971,-49.011444,-65.536331
27.5355949,1.07087359748628,59.88701,568.25592,-49.004456,-65.808388
27.5689354,1.07157441207996,59.8868,568.202576,-49.023254,-66.080803
27.6022758,1.07174962685454,59.886495,568.15863,-48.991623,-66.35405
27.6356163,1.07106510095974,59.886245,568.158936,-48.884632,-66.627838
27.6689568,1.07243141571387,59.885865,568.310669,-49.06245,-66.902809
27.7022972,1.07154859938774,59.885425,568.339417,-48.929207,-67.17897
27.7356377,1.07124300826515,59.8847,568.439026,-48.926548,-67.457428
27.7689781,1.07262834875362,59.883575,568.670349,-49.186211,-67.739624
27.8023186,1.07255500510402,59.883195,568.631958,-49.1968,-68.021179
27.835659,1.07179172824564,59.882945,568.492676,-49.144371,-68.302643
27.8689995,1.07210953589239,59.8822,568.457458,-49.20435,-68.587265
27.9023399,1.07243277310544,59.881955,568.395996,-49.275867,-68.871414
27.9356804,1.07273972161961,59.88201,568.276978,-49.273521,-69.15464
