Time,V,F,P,Q,Ang
0,1,60.000075,555.969055,-21.249073,69.600006
0.0333333,0.99949770076672,60.000075,555.965881,-21.16312,69.600006
0.0666667,0.999431884978102,60.000075,555.9729,-21.166721,69.600014
0.1,0.998491760018949,60.000095,555.954407,-21.035524,69.600029
0.1333334,0.997793355701032,59.999025,556.112854,-20.963964,69.595596
0.1666667,0.996940523029886,59.995995,556.53363,-21.017309,69.579254
0.2,0.995494049989202,59.994125,556.803711,-20.961418,69.559875
0.2333333,0.995091145579455,59.993555,556.783813,-20.983334,69.543457
0.2666666,0.995085754449995,59.991815,556.754272,-21.11577,69.519531
0.2999999,0.99520799005874,59.99096,556.563354,-21.140007,69.495544
0.3333332,0.99489772505724,59.99052,556.235657,-21.073561,69.47155
0.3666665,0.994551218463013,59.988155,556.171936,-21.055532,69.438614
0.3999998,0.994247686872182,59.986285,556.250183,-21.056198,69.399712
0.4333331,0.995023987509626,59.98604,556.132324,-21.139183,69.366745
0.4666664,0.995683421663168,59.98522,556.113586,-21.181103,69.327797
0.4999997,0.99666385906791,59.98766,555.648621,-21.180592,69.303741
0.533333,0.997673826659318,59.986725,555.582336,-21.278584,69.270782
0.5666663,0.998292970371887,59.983425,556.030396,-21.445971,69.222946
0.5999996,0.998323864844376,59.98392,556.069458,-21.472656,69.184036
0.6333329,0.998546815553256,59.98701,555.651306,-21.40753,69.160004
0.6666662,0.999363384627062,59.988555,555.397034,-21.441236,69.135994
0.6999995,0.999735416568933,59.98934,555.350952,-21.421371,69.112038
0.7333328,1.00038008562914,59.98972,555.499695,-21.471245,69.088127
0.7666661,1.0011805473284,59.98993,555.726746,-21.548445,69.064224
0.7999994,1.00197966674645,59.990025,555.942871,-21.714554,69.040329
0.8333327,1.0026511814309,59.99008,556.082275,-21.853527,69.016418
0.866666,1.00280563178874,59.9901,556.126831,-21.964632,68.992493
0.8999993,1.00220127517412,59.9901,556.106689,-21.970116,68.968559
0.9333326,1.00199845868342,59.99117,555.948975,-22.011801,68.949074
0.9666659,1.00139812891243,59.992065,555.775024,-21.93058,68.932632
0.9999992,1.00154316129718,59.99216,555.836609,-21.957664,68.913185
1.0333329,1.00200517008948,59.99363,555.721863,-22.023846,68.901222
1.0666667,1.00186953367323,59.994375,555.677002,-21.98666,68.889305
1.1000005,1.00165732121404,59.994755,555.735229,-21.943787,68.877411
1.1333343,1.00136052303388,59.994945,555.860352,-21.928028,68.865532
1.1666681,1.00162376418374,59.99504,556.020508,-22.009815,68.853653
1.2000018,1.00148676348166,59.99508,556.111572,-22.071434,68.841766
1.2333356,1.00114965285591,59.996165,556.033447,-22.027145,68.834305
1.2666694,1.00094014696377,59.995975,556.02124,-22.021318,68.825325
1.3000032,1.00064466906021,59.994125,556.300659,-22.092653,68.805984
1.3333369,1.00030890071568,59.99462,556.277161,-22.066908,68.794067
1.3666707,0.999974474652358,59.99378,556.282104,-22.096807,68.777634
1.4000045,0.999763626478998,59.99304,556.327637,-22.123293,68.758224
1.4333383,1.00007252719468,59.99407,556.089294,-22.190144,68.746246
1.4666721,1.00054258967425,59.994585,555.900024,-22.180315,68.734283
1.5000058,1.00041366466406,59.99485,555.739136,-22.144402,68.722343
1.5333396,1.0006863017824,59.994985,555.718018,-22.156174,68.710419
1.5666734,1.00055871905341,59.99506,555.750244,-22.101967,68.698517
1.6000072,1.0007078002864,59.996165,555.75116,-22.033695,68.691063
1.633341,1.00101804328329,59.99811,555.58252,-22.056379,68.691025
1.6666747,1.00073061906701,59.999105,555.555969,-21.911114,68.691017
1.7000085,1.00120068154659,60.00067,555.56366,-21.908619,68.695526
1.7333423,1.00139273778297,60.00288,555.47052,-21.797579,68.707527
1.7666761,1.00186550682959,60.003985,555.530518,-21.834455,68.719559
1.8000098,1.00142228997425,60.00347,555.812561,-21.737387,68.727119
1.8333436,1.00122486461301,60.00395,556.049133,-21.743317,68.736198
1.8666774,1.0015875005864,60.00595,555.970154,-21.700699,68.755692
1.9000112,1.00159555427367,60.00553,556.085083,-21.719532,68.767738
1.933345,1.00145184216553,60.0053,556.1828,-21.734169,68.779785
1.9666787,1.00083135617175,60.00412,556.308533,-21.718628,68.787331
2.0000124,0.999092089789934,60.002115,556.528503,-21.59893,68.787415
2.0333452,0.998114358952229,60.002175,556.51062,-21.516701,68.791939
2.066678,0.99809688729186,60.002555,556.334351,-21.514389,68.799416
2.1000109,0.998278205278553,60.001315,556.34729,-21.562946,68.799416
2.1333437,0.997982727374997,60.000685,556.25824,-21.486927,68.799393
2.1666765,0.997527429988752,59.999315,556.252319,-21.396601,68.794922
2.2000093,0.997186292519372,59.997215,556.390076,-21.433315,68.783035
2.2333422,0.997477743579292,59.996165,556.466431,-21.436111,68.771133
2.266675,0.997372979630911,59.99563,556.341553,-21.460434,68.759201
2.3000078,0.997184950238161,59.994295,556.298645,-21.422985,68.742744
2.3333406,0.997626824812284,59.9922,556.417908,-21.55847,68.718826
2.3666735,0.997193025930043,59.99115,556.372192,-21.504631,68.694885
2.4000063,0.997477743579292,59.990615,556.267761,-21.50942,68.670921
2.4333391,0.998714688723217,59.991435,556.019592,-21.63089,68.651421
2.4666719,0.999560831992913,59.99218,555.689209,-21.650826,68.634888
2.5000048,1.0002041367673,59.99113,555.702515,-21.695189,68.610931
2.5333376,1.00085014810872,59.991705,555.677368,-21.680004,68.591499
2.5666704,1.00138602637692,59.9934,555.481384,-21.665642,68.579529
2.6000032,1.00080583082411,59.99426,555.424072,-21.490501,68.567619
2.6333361,1.0009441738074,59.995765,555.429077,-21.47036,68.560173
2.6666689,1.00121949548817,59.99792,555.407227,-21.410797,68.560158
2.7000017,1.00201458806258,59.99901,555.554993,-21.455612,68.560181
2.7333345,1.00241615019111,59.99956,555.760925,-21.482986,68.560211
2.7666674,1.00250883360859,59.99983,555.962646,-21.513681,68.560265
2.8000002,1.00267804905976,59.99996,556.121765,-21.573076,68.560295
2.833333,1.00229125202455,60.00004,556.200378,-21.563473,68.560318
2.8666658,1.00229930571183,60.000055,556.235413,-21.623602,68.560326
2.8999987,1.0019205623639,60.000075,556.197632,-21.614985,68.560326
2.9333315,1.00145318444674,60.000075,556.125549,-21.594406,68.560318
2.9666643,1.00043111431981,60.000075,556.045044,-21.439814,68.560326
2.9999971,0.999803916919974,59.99901,556.152649,-21.396328,68.555893
3.03333,0.998891979866272,59.99815,556.307861,-21.312597,68.54847
3.0666628,0.998894664428696,59.998035,556.306335,-21.35597,68.544006
3.0999956,0.99866634459497,59.997635,556.304504,-21.339481,68.53653
3.1333284,0.998838266613176,59.997785,556.163818,-21.372261,68.532036
3.1666613,0.998718715566854,59.99645,556.22168,-21.374643,68.520126
3.1999941,0.99843802476124,59.994715,556.326477,-21.39563,68.503746
3.2333269,0.998262097904007,59.993475,556.430725,-21.398252,68.484322
3.2666597,0.997637563061978,59.994295,556.172974,-21.285143,68.472359
3.2999926,0.997335373752362,59.99363,556.059448,-21.267429,68.455933
3.3333254,0.99719705277368,59.992945,556.085083,-21.238495,68.436485
3.3666582,0.99764964359289,59.992945,556.037109,-21.234133,68.420044
3.399991,0.998299681777948,59.99153,556.182495,-21.330078,68.396141
3.4333239,0.998460865546456,59.990825,556.20459,-21.385529,68.372215
3.4666567,0.998460865546456,59.990465,556.164795,-21.372614,68.348267
3.4999895,0.999047772505325,59.990275,556.110229,-21.43741,68.324303
3.5333223,0.998761712574863,59.990195,555.986877,-21.39595,68.300354
3.5666552,0.999190142332253,59.99014,555.925049,-21.460262,68.276398
3.599988,0.999387567693493,59.99012,555.91095,-21.407274,68.252457
3.6333208,0.999978501495995,59.99012,555.917114,-21.495802,68.228516
3.6666536,0.99968975700311,59.99012,555.910767,-21.45381,68.204582
3.6999865,0.999631994901765,59.99012,555.955627,-21.428316,68.180656
3.7333193,0.999179404082557,59.99012,555.982056,-21.40209,68.156738
3.7666521,0.999606491558736,59.99012,556.057495,-21.474113,68.13282
3.7999849,1.0008797003,59.99012,556.149841,-21.632387,68.108871
3.8333178,1.00075614441465,59.9901,556.06897,-21.651119,68.084938
3.8666506,1.00069435546967,59.9901,556.01123,-21.67808,68.060989
3.8999834,1.0013188903117,59.9901,555.99939,-21.758587,68.037041
3.9333162,1.00259344133417,59.99117,555.900208,-21.889399,68.017525
3.9666491,1.00285131335918,59.992065,555.680908,-21.912033,68.00106
3.9999819,1.00281370748062,59.991095,555.807678,-21.9189,67.977158
4.0333147,1.00329853505354,59.990595,555.986511,-22.031603,67.953262
4.0666475,1.00335629715488,59.991435,555.996582,-22.039463,67.9338
4.0999804,1.00321795417159,59.993265,555.760742,-22.017475,67.921829
4.1333132,1.00297486924453,59.9942,555.646973,-21.999424,67.909897
4.166646,1.00328779680384,59.99573,555.600891,-21.955511,67.90242
4.1999788,1.00310782109836,59.996835,555.573242,-21.897793,67.897949
4.2333117,1.00328242767899,59.997045,555.761658,-21.95105,67.890511
4.2666445,1.00316961004334,59.9975,555.914185,-21.918224,67.886078
4.2999773,1.00289428836258,59.997385,556.101868,-21.978785,67.878662
4.3333101,1.00251554501465,59.997675,556.175537,-21.965376,67.874222
4.366643,1.00220261745533,59.996395,556.40625,-22.041214,67.86235
4.3999758,1.00133768224867,59.995765,556.487122,-22.0189,67.850471
4.4333086,1.00086627748788,59.99544,556.453247,-22.037071,67.83857
4.4666414,1.00059498265075,59.99527,556.342041,-22.067305,67.826637
4.4999743,1.00032366580901,59.995195,556.197083,-22.03702,67.814697
4.5333071,1.00005505553431,59.995155,556.058594,-21.962423,67.802757
4.5666399,0.999887182364348,59.99405,556.080017,-21.948477,67.786362
4.5999727,0.999264011808142,59.993155,556.178467,-21.863194,67.766945
4.6333055,0.999065244165692,59.993055,556.141968,-21.873217,67.750511
4.6666384,0.99847428835858,59.99159,556.290588,-21.851967,67.726639
4.6999712,0.998274178434916,59.990845,556.36438,-21.887383,67.702721
4.733304,0.998763054856073,59.99048,556.373535,-21.93162,67.678787
4.7666368,0.999024931720107,59.99029,556.265564,-21.978655,67.654816
4.7999697,0.999160590140977,59.990195,556.101685,-22.004786,67.630852
4.8333025,0.999196853738314,59.99014,555.956299,-21.946325,67.60688
4.8666353,0.999297590843057,59.99012,555.884155,-21.916653,67.582932
4.8999681,0.999922103680473,59.99012,555.879944,-21.952663,67.558983
4.933301,1.0007078002864,59.99012,555.906677,-22.045538,67.535042
4.9666338,1.00139408006419,59.9901,555.928894,-22.138237,67.511101
4.9999666,1.00155929067633,59.99117,555.808533,-22.136984,67.491608
5.0332994,1.0020495093787,59.992065,555.714539,-22.110962,67.475159
5.0666323,1.00211261860029,59.99216,555.77301,-22.091139,67.455719
5.0999651,1.00139273778297,59.99365,555.651428,-21.983131,67.443787
5.1332979,1.00155257927027,59.99544,555.599182,-21.938427,67.436302
5.1666307,1.00246046747573,59.9967,555.612854,-22.019499,67.431816
5.1999636,1.00301247512308,59.996985,555.788879,-22.062426,67.424385
5.2332964,1.00330121961596,59.99853,555.789001,-22.010616,67.42437
5.2666292,1.00248196597973,59.999315,555.764282,-21.920609,67.424385
5.299962,1.00237988659378,59.999715,555.902893,-21.885832,67.424416
5.3332949,1.00156600208239,59.999905,556.025208,-21.809587,67.424461
5.3666277,1.00146794954008,60,556.177429,-21.827265,67.4245
5.3999605,1.0006540650287,60.000055,556.233032,-21.770424,67.42453
5.4332933,1.00056006133462,60.001145,556.170349,-21.701832,67.429001
5.4666262,1.00015310807663,60.00204,555.987549,-21.606056,67.436493
5.499959,0.999611860683583,60.00107,556.095764,-21.566185,67.436539
