Time,V,F,P,Q,Ang
0,1,60.000075,576.966064,-9.177189,69.603981
0.0333333,1.00004051655741,60.000265,576.973083,-9.125546,69.604729
0.0666667,1.00008643237207,60.00046,576.930237,-9.141175,69.606071
0.1,1.00014316882931,60.00078,576.893005,-9.102073,69.608467
0.1333334,1.00021068167293,60.000975,576.871521,-9.112871,69.611038
0.1666667,1.00028226608759,60.00128,576.840271,-9.109665,69.614632
0.2,1.00034710143069,60.00147,576.843994,-9.071924,69.618378
0.2333333,1.00041868584535,60.001775,576.848206,-9.02357,69.623192
0.2666666,1.00034170217345,60.001985,576.840393,-9.017734,69.628151
0.2999999,1.0002188026869,60.00229,576.845581,-8.960867,69.634155
0.3333332,1.00009860282897,60.00248,576.845947,-8.946761,69.640312
0.3666665,1.00031873320207,60.002785,576.85791,-8.966374,69.647522
0.3999998,1.00068880360415,60.002935,576.867065,-8.982402,69.654732
0.4333331,1.00081710234794,60.003015,576.869507,-8.95405,69.661942
0.4666664,1.00094272359122,60.00305,576.841858,-9.006588,69.669151
0.4999997,1.00107507177794,60.00307,576.83429,-8.974565,69.676353
0.533333,1.00120876977898,60.00307,576.822083,-8.986657,69.683563
0.5666663,1.00144919162295,60.00309,576.804932,-8.995184,69.690765
0.5999996,1.00188542505433,60.00309,576.792114,-9.048038,69.697968
0.6333329,1.00206641081244,60.00309,576.772095,-9.056511,69.70517
0.6666662,1.00217851178451,60.003035,576.728455,-9.059087,69.712212
0.6999995,1.00235542597158,60.00286,576.743286,-9.045066,69.718376
0.7333328,1.00273899451676,60.002975,576.703003,-9.134607,69.725578
0.7666661,1.00299156468952,60.003035,576.66626,-9.135739,69.73278
0.7999994,1.00284299660296,60.00305,576.625122,-9.0961,69.739983
0.8333327,1.00317659989055,60.00307,576.652832,-9.119626,69.747192
0.866666,1.00302263254676,60.00309,576.626892,-9.131519,69.754402
0.8999993,1.0028348977171,60.00309,576.644592,-9.114077,69.761627
0.9333326,1.00269037907348,60.00309,576.664368,-9.096652,69.768845
0.9666659,1.00229061275658,60.00309,576.661621,-9.075314,69.776062
0.9999992,1.00180574175381,60.00309,576.669861,-9.013432,69.783287
1.0333329,1.00143972079467,60.00309,576.678894,-8.995787,69.790512
1.0666667,1.00124523689346,60.00309,576.686218,-8.974569,69.797737
1.1000005,1.00086436797691,60.00309,576.664246,-8.945843,69.804947
1.1333343,1.00048757063138,60.00309,576.647217,-8.872967,69.812157
1.1666681,1.00056590411759,60.00292,576.652649,-8.900187,69.818611
1.2000018,1.00064558741811,60.002785,576.642517,-8.87875,69.824768
1.2333356,1.0007212212757,60.002935,576.577148,-8.872388,69.831963
1.2666694,1.00079820494759,60.003015,576.521851,-8.869817,69.839157
1.3000032,1.00088058787673,60.00305,576.466797,-8.867209,69.846359
1.3333369,1.00073201979018,60.00307,576.445984,-8.835009,69.853569
1.3666707,1.00041058695949,60.00307,576.441833,-8.765893,69.860794
