Time,V,F,P,Q,Ang
0,1,60.000075,571.972412,-7.160293,69.605469
0.0333333,0.999594947739611,60.000075,571.972839,-7.076568,69.605476
0.0666667,0.999363691080181,60.000095,571.976624,-7.036505,69.605484
0.1,0.999133802007394,60.000135,571.990417,-6.998645,69.605637
0.1333334,0.998905302940702,60.00057,571.939941,-6.962791,69.607735
0.1666667,0.998784865638283,60.00126,571.860046,-6.936872,69.612091
0.2,0.998992873324777,60.00185,571.81604,-6.906719,69.617638
0.2333333,0.999003814017924,60.002175,571.8172,-6.848254,69.623497
0.2666666,0.998419518229453,60.002135,571.869446,-6.738467,69.628326
0.2999999,0.997836590027628,60.001945,571.956665,-6.694442,69.632416
0.3333332,0.997330291516729,60.001775,572.082092,-6.622441,69.636055
0.3666665,0.996847264398222,60.00164,572.153931,-6.577068,69.639549
0.3999998,0.996361479686973,60.001375,572.23053,-6.498631,69.641983
0.4333331,0.996089173008792,60.00122,572.227783,-6.478122,69.644394
0.4666664,0.99588939326161,60.001125,572.188599,-6.444454,69.646645
0.4999997,0.995692348687715,60.00084,572.129395,-6.413871,69.647842
0.533333,0.995493936527175,60.00067,572.080017,-6.297744,69.648888
0.5666663,0.99529689195328,60.00038,572.04541,-6.243065,69.64888
0.5999996,0.995243511235286,60.000055,572.012878,-6.239463,69.648125
0.6333329,0.995240776061999,59.9996,572.042114,-6.180512,69.646042
0.6666662,0.995233938128785,59.999045,572.090881,-6.145593,69.642296
0.6999995,0.995229835368856,59.99836,572.149536,-6.133443,69.636635
0.7333328,0.995039628728176,59.99771,572.169312,-6.12549,69.62944
0.7666661,0.994876796239815,59.997215,572.175293,-6.074321,69.621468
0.7999994,0.994852157260784,59.99672,572.177673,-6.031473,69.612305
0.8333327,0.99441701809424,59.996395,572.110657,-5.974455,69.602676
0.866666,0.99446080328628,59.99607,572.086548,-5.93211,69.592354
0.8999993,0.994670178559416,59.99584,572.045288,-5.929884,69.581627
0.9333326,0.994874061066528,59.99573,571.99884,-5.880465,69.570908
0.9666659,0.995082046333569,59.99571,571.947632,-5.873266,69.560303
0.9999992,0.995287318846779,59.995935,571.876648,-5.847462,69.550827
1.0333329,0.995623924516646,59.9963,571.821899,-5.813499,69.542542
1.0666667,0.995511715153539,59.99672,571.750854,-5.723591,69.535469
1.1000005,0.995595205197138,59.99737,571.714355,-5.668631,69.530396
1.1333343,0.995733398706464,59.998015,571.71051,-5.608672,69.526932
1.1666681,0.996004337798004,59.99878,571.72821,-5.580179,69.525436
1.2000018,0.996713151229369,59.99964,571.737305,-5.607832,69.526314
1.2333356,0.99601527849115,60.0004,571.723877,-5.407725,69.528877
1.2666694,0.995985191584998,60.00122,571.747803,-5.326502,69.533394
1.3000032,0.996019381251079,60.00229,571.735168,-5.289909,69.541054
1.3333369,0.99599886745143,60.003625,571.680481,-5.200955,69.552475
1.3666707,0.995488466180603,60.0049,571.627625,-5.044255,69.567047
1.4000045,0.995786757005005,60.0058,571.688232,-4.949033,69.582825
1.4333383,0.99608780542215,60.006845,571.719421,-4.90653,69.601303
1.4666721,0.995489833767246,60.00803,571.677979,-4.728651,69.623108
1.5000058,0.994735845137746,60.008585,571.728638,-4.588955,69.644783
1.5333396,0.994418385680885,60.00889,571.879883,-4.477437,69.666603
1.5666734,0.994102293810667,60.009385,571.996521,-4.381694,69.690086
1.6000072,0.993782099180519,60.00946,572.088318,-4.329662,69.712807
1.633341,0.993626104625374,60.00929,572.192627,-4.244622,69.734467
1.6666747,0.993526203542056,60.009195,572.224976,-4.177477,69.756119
1.7000085,0.993423589704904,60.009135,572.182739,-4.128374,69.77774
1.7333423,0.993060955049908,60.009115,572.08313,-4.017292,69.799377
1.7666761,0.992616242776866,60.00889,572.023987,-3.886456,69.820091
1.8000098,0.992542348259221,60.00828,572.042297,-3.801454,69.838432
1.8333436,0.99259023621119,60.007475,572.130798,-3.718801,69.85437
1.8666774,0.992521834459574,60.00656,572.198792,-3.700109,69.867905
1.9000112,0.992094900812892,60.00561,572.249023,-3.614331,69.879036
1.933345,0.991745964443783,60.004635,572.282837,-3.545269,69.887772
1.9666787,0.991629652320744,60.003645,572.302979,-3.536785,69.894081
2.0000124,0.991513340197708,60.00265,572.332214,-3.465075,69.897987
2.0333452,0.991150705542713,60.00168,572.299622,-3.397591,69.899643
2.066678,0.990911243363423,60.000955,572.233032,-3.327661,69.900078
2.1000109,0.991297126991355,60.000345,572.176819,-3.353506,69.899307
2.1333437,0.991703546838389,59.99977,572.096375,-3.336875,69.897324
2.1666765,0.992150994284719,59.999235,572.02771,-3.335979,69.894135
2.2000093,0.992465718568295,59.998875,571.957275,-3.297329,69.890358
2.2333422,0.992343936098685,59.998475,571.890686,-3.232773,69.885529
2.266675,0.992397294397224,59.99811,571.892151,-3.197018,69.880013
2.3000078,0.992965179145974,59.997865,571.933533,-3.216155,69.874107
2.3333406,0.993455066617155,59.99756,571.98584,-3.203494,69.867393
2.3666735,0.993713675009449,59.99714,572.012329,-3.24322,69.859428
2.4000063,0.994059876205273,59.997025,572.013123,-3.269014,69.851753
2.4333391,0.993663051884196,59.99727,571.927979,-3.171618,69.845474
